Source,Target,Weight
Francis Beaumont,H. Moseley,1
Francis Beaumont,Humphrey Moseley,1
Francis Beaumont,J.T.,1
Francis Beaumont,John Martin,1
Francis Howard Williams,G. P. Putnam's Sons,2
Francis Hueffer,Tinsley Bros.,1
Francis Ludlow Holt,John Bell,1
Francis Twiss,"T. Egerton, T. Payne",1
"Francis W. Moore, Jr.",Dean; Son,1
Francis William Lauderdale Adams,T. Fisher Unwin,1
Francisco Camprodón,J. W. Parker; Son,1
Frank Frankfort Moore,C. A. Pearson,1
Frank Howard,T. Cadell,1
Frederick Cerny,M. Ward; Co.,2
"Frederick Howard, 5th Earl of Carlisle",W. Bulmer,1
Frederick William Hayes,Bemrose; Sons,1
Frederick William Hayes,Platrier; Sons,3
G. E. Moore,Walter Scott,1
Gaius Calpurnius Piso,W. Cademan,1
"George Booth, 2nd Earl of Warrington",Rowland Hunter,1
George Chapman,Andrew Crooke; William Cooke,1
George Chapman,Iohn Browne,1
George Chapman,Thomas Thorp,1
George Colman the Younger,J. Newbery,1
George Colman the Younger,Longman,3
George Colman the Younger,T. Cadell; W. Davies,2
George Colman the Younger,W. Jackson,1
George Edward Ayscough,J. Dodsley,1
George Etherege,In the Savoy,1
George Henry Lewes,Chapman; Hall,1
George Manville Fenn,Downey; Co.,1
George Meredith,Chapman; Hall,1
George Meredith,Kegan Paul; Co.,1
George Smith Green,John Watts,1
George Staunton Brodie,Tinsley Bros.,1
George Washington Stephens Sr.,C. Mitchell,1
Glencairn Stuart Ogilvie,W. Heinemann,1
Gotthold Ephraim Lessing,T. Cadell,1
Gowing Blake,F. V. White; Co.,1
Gowing Blake,Kegan Paul; Co.,1
Gyles Goosecappe,E. Blunt,1
H. C,James Ridgway,1
H. P Baker,W. J. Gatchfield,1
Halliwell Sutcliffe,Skeffington; Son,1
Hannah Cowley,C. Dilly,1
Hannah Cowley,G. G. T.; J. Robinson,3
Hannah Cowley,Longman,1
Hannah Cowley,T. Cadell,1
Hannah Cowley,T. Evans,1
Hannah More,T. Cadell,1
Harold Vallings,F. V. White; Co.,1
Harold Vallings,J. W. Arrowsmith,1
Harriet L. Childe-Pemberton,"Ward, Lock",1
Harriet Pixley Plumb,T. Fisher Unwin,1
Hawley Smart,F. V. White; Co.,1
Heinrich B Telgmann,British Whig Office,1
Henry Bellyse Baildon,Longman,1
Henry Boyd,Longman,1
Henry Brereton Code,J. Walker,1
Henry Brereton Code,the Author,2
"Henry Brooke, Baron Brooke of Cumnor",R. Dodsley,1
Henry Bullock,John Taylor,1
"Henry Cary, 1st Viscount Falkland",R. Crofts,1
Henry Formby,Burns; Oates,1
Henry Gibson,S. Bates,1
Henry Grattan Donnelly,Aldine Publishing Co.,1
Henry H. Bliss,B. Kimpton,1
Henry James,Harper; Bros.,1
Henry James,Osgood; McIlvaine,1
Henry James Byron,Albion Press,1
Henry Llewellyn Williams,Aldine Publishing Co.,1
Henry Neville Maugham,Grant Richards,1
Henry Savile Clarke,F. Warne; Co.,1
Henry Solly,Kegan Paul; Co.,1
Henry Thomas Mackenzie Bell,Thomas Burleigh,1
Herbert Arthur Morrah,Methuen; Co.,1
Herbert Guthrie-Smith,William Blackwood; Sons,2
Herman Charles Merivale,Remington; Co.,1
Horace Bushnell,C. Scribner’s Sons,1
Howard Orsmond Anderton,T. Fisher Unwin,1
Hugh Macnaghten,R. I. Drake,1
I C.,Tho. Johnson,1
Inês de Castro,Henry Rhodes,1
